Date,Close,High,Low,Open,Volume,Daily_Return,MA7,MA30,MA90,Price_Difference,High_Low_Spread,Lag_1,Lag_3,Lag_7,Volatility_7,Volatility_30,Momentum_7,Trend_Label
2021-10-27,310.74,313.56,303.84,303.84,52588700,0.04212220806224429,299.03428571428566,286.977,279.82,6.900000000000034,9.720000000000027,298.18,297.27,295.47,0.016386553059116026,0.015379039829292373,15.269999999999982,1
2021-10-28,311.87,312.37,309.0,311.85,26297900,0.0036364806590718783,301.2485714285714,287.59000000000003,280.45399999999995,0.01999999999998181,3.3700000000000045,310.74,296.28,296.37,0.016362284376455732,0.015381003897464244,15.5,1
2021-10-29,318.86,319.23,311.44,311.66,34766000,0.022413184980921565,304.5728571428572,288.6073333333334,281.1682222222222,7.199999999999989,7.7900000000000205,311.87,298.18,295.59,0.016534960293820986,0.015348931289271683,23.27000000000004,1
2021-11-01,316.7,318.74,313.82,318.61,27073200,-0.006774132848272047,307.12857142857143,289.73133333333334,281.8433333333333,-1.910000000000025,4.920000000000016,318.86,310.74,298.81,0.01784991214563069,0.014908586698188305,17.889999999999986,0
2021-11-02,320.32,320.62,317.31,317.6,26487100,0.011430375749921076,310.4214285714285,290.96,282.57644444444446,2.7199999999999704,3.3100000000000023,316.7,311.87,297.27,0.0168097646576629,0.01496553534300842,23.05000000000001,1
2021-11-03,321.15,322.02,317.93,321.06,21500100,0.0025911588411587916,313.9742857142857,292.0953333333334,283.27933333333334,0.08999999999997499,4.089999999999975,320.32,318.86,296.28,0.01611207599588613,0.014878726600305578,24.870000000000005,1
2021-11-04,323.5,323.59,316.84,320.09,23992200,0.00731745290362766,317.59142857142854,293.2773333333334,283.97977777777777,3.410000000000025,6.75,321.15,316.7,298.18,0.01606625548412687,0.014891686301862377,25.319999999999993,1
2021-11-05,323.13,325.76,321.56,325.49,22570100,-0.001143740340030926,319.3614285714285,294.45366666666666,284.6814444444445,-2.3600000000000136,4.199999999999989,323.5,320.32,310.74,0.00940851893557114,0.014896780171189256,12.389999999999986,0
2021-11-08,324.03,324.66,321.58,324.33,20897000,0.002785256707826501,321.09857142857146,295.82633333333337,285.3856666666667,-0.30000000000001137,3.080000000000041,323.13,321.15,311.87,0.009444143571155488,0.014347284055470597,12.159999999999968,1
2021-11-09,323.03,325.69,321.66,324.14,21307400,-0.0030861339999382776,321.6942857142857,297.50699999999995,286.0142222222222,-1.1100000000000136,4.029999999999973,324.03,323.5,318.86,0.00620215136978517,0.01221146069803575,4.169999999999959,0
2021-11-10,318.08,321.76,317.23,321.7,25500900,-0.015323654149769337,321.89142857142855,299.00699999999995,286.5876666666667,-3.6200000000000045,4.529999999999973,323.03,323.13,316.7,0.008576446580121595,0.012788024147385032,1.3799999999999955,0
2021-11-11,319.64,320.93,317.8,318.51,16849800,0.004904426559356144,321.7942857142857,300.6256666666667,287.15422222222224,1.1299999999999955,3.1299999999999955,318.08,324.03,320.32,0.007496342257850824,0.012568874565441193,-0.6800000000000068,1
2021-11-12,323.77,324.26,320.95,321.08,23831000,0.01292078588411962,322.1685714285714,302.152,287.79344444444445,2.6899999999999977,3.3100000000000023,319.64,323.03,321.15,0.00901786174739729,0.012084604374786227,2.6200000000000045,1
2021-11-15,323.14,324.88,321.18,324.56,16723000,-0.0019458257404947818,322.1171428571428,303.8493333333334,288.4201111111111,-1.420000000000016,3.6999999999999886,323.77,318.08,323.5,0.00864173852301573,0.011147602250782322,-0.36000000000001364,0
2021-11-16,326.45,327.57,322.6,322.77,20886800,0.010243238224918,322.59142857142854,305.47599999999994,289.0902222222222,3.680000000000007,4.96999999999997,323.14,319.64,323.13,0.009452180069545478,0.010859763256735907,3.319999999999993,1
2021-11-17,326.67,329.63,325.59,326.5,19053400,0.0006739163731046938,322.9685714285714,306.9703333333333,289.7236666666667,0.17000000000001592,4.0400000000000205,326.45,323.77,324.03,0.00943799771400952,0.010737547709274072,2.640000000000043,1
2021-11-18,328.74,329.88,324.75,325.77,22463500,0.006336670033979224,323.78428571428566,308.478,290.3638888888889,2.9700000000000273,5.1299999999999955,326.67,323.14,323.03,0.009396991774664003,0.01073904913845408,5.710000000000036,1
2021-11-19,330.52,332.43,329.64,330.06,21963400,0.005414613372269796,325.56142857142856,310.045,291.0396666666667,0.45999999999997954,2.7900000000000205,328.74,326.45,318.08,0.005121189066512386,0.010697518939896946,12.439999999999998,1
2021-11-22,327.36,336.83,327.09,331.97,31031100,-0.009560692242526831,326.6642857142857,311.5266666666667,291.68333333333334,-4.610000000000014,9.740000000000009,330.52,326.67,319.64,0.007682615460224357,0.010955865930199846,7.720000000000027,0
2021-11-23,325.28,326.99,321.32,324.68,30427600,-0.0063538611925709945,326.88,312.9823333333333,292.34366666666665,0.5999999999999659,5.670000000000016,327.36,328.74,323.77,0.007154388557231257,0.011013167755598078,1.509999999999991,0
2021-11-24,325.51,325.75,321.65,323.94,21661300,0.0007070831283817579,327.21857142857147,314.33566666666667,292.982,1.5699999999999932,4.100000000000023,325.28,330.52,323.14,0.00706134525874076,0.010960590159636343,2.3700000000000045,1
2021-11-26,317.58,325.53,316.08,322.08,24217200,-0.024361770759730905,325.95142857142855,315.2183333333333,293.51,-4.5,9.449999999999989,325.51,327.36,326.45,0.010727245848063331,0.011670888727581994,-8.870000000000005,0
2021-11-29,324.27,326.59,322.45,322.65,28563500,0.021065558284526727,325.6085714285714,316.277,294.0617777777778,1.6200000000000045,4.139999999999986,317.58,325.28,326.67,0.014332305254675286,0.012127478508067599,-2.400000000000034,1
2021-11-30,318.46,325.38,316.91,323.01,42885600,-0.01791716779227188,324.14,317.04333333333335,294.5113333333333,-4.550000000000011,8.46999999999997,324.27,325.51,328.74,0.015179668151761309,0.012668945207332409,-10.28000000000003,0
2021-12-01,317.96,326.83,317.3,322.83,33337600,-0.001570055893989826,322.3457142857143,317.763,294.962,-4.8700000000000045,9.529999999999973,318.46,317.58,330.52,0.014644879401071023,0.012691074210729328,-12.560000000000002,0
2021-12-02,317.4,321.25,315.77,318.18,30766000,-0.0017612278273996802,320.92285714285714,318.48999999999995,295.43322222222224,-0.7800000000000296,5.480000000000018,317.96,324.27,327.36,0.014574517965056297,0.012680105397533102,-9.960000000000036,0
2021-12-03,311.15,320.49,306.36,319.8,41779300,-0.019691241335853815,318.9042857142857,318.9013333333333,295.83844444444446,-8.650000000000034,14.129999999999995,317.4,318.46,325.28,0.015713108683415446,0.013197054092256013,-14.129999999999995,0
2021-12-06,314.22,315.43,307.51,312.06,30032600,0.009866623814880444,317.2914285714286,319.46633333333335,296.2747777777778,2.160000000000025,7.920000000000016,311.15,317.96,325.51,0.016734152340876603,0.01322342897600321,-11.289999999999964,1
2021-12-07,322.63,323.47,317.98,319.47,31021900,0.026764687161861013,318.0128571428572,320.3446666666667,296.82144444444447,3.159999999999968,5.490000000000009,314.22,317.4,317.58,0.017942866119401487,0.013932805247137706,5.050000000000011,1
2021-12-08,322.67,323.18,318.66,323.0,24761000,0.00012398103090233538,317.7842857142858,321.161,297.36955555555556,-0.3299999999999841,4.519999999999982,322.63,311.15,324.27,0.01594547838685517,0.013926017522294406,-1.599999999999966,1
2021-12-09,320.87,324.14,319.93,322.13,22214200,-0.005578454768029291,318.12857142857143,321.4986666666667,297.8731111111111,-1.259999999999991,4.2099999999999795,322.67,314.22,318.46,0.014309939931950642,0.011839874007745678,2.410000000000025,0
2021-12-10,329.97,330.41,322.5,322.68,38095700,0.028360395175616365,319.8442857142857,322.102,298.4843333333333,7.2900000000000205,7.910000000000025,320.87,322.63,317.96,0.01747753400403337,0.012838193404419074,12.010000000000048,1
2021-12-13,326.94,331.17,326.63,328.17,28899400,-0.009182652968451766,321.20714285714286,322.3713333333333,299.0297777777777,-1.2300000000000182,4.5400000000000205,329.97,322.67,317.4,0.018197487671063474,0.012390784718922049,9.54000000000002,0
2021-12-14,316.29,322.36,312.21,320.99,44438700,-0.03257478436410344,321.9414285714286,322.35766666666666,299.4575555555556,-4.699999999999989,10.150000000000034,326.94,320.87,311.15,0.021406474179048465,0.01376193431658573,5.140000000000043,0
2021-12-15,322.37,322.89,312.59,316.55,35381100,0.019222865092162204,323.1057142857143,322.42600000000004,299.9648888888888,5.819999999999993,10.300000000000011,316.29,329.97,314.22,0.022216946731241215,0.01405459717831464,8.149999999999977,1
2021-12-16,312.97,324.4,311.16,323.39,35034800,-0.02915904085367738,321.7257142857143,322.1533333333333,300.3878888888889,-10.419999999999959,13.239999999999952,322.37,326.94,322.63,0.022665179869329827,0.01503779869420252,-9.659999999999968,0
