Date,Close,High,Low,Open,Volume,Daily_Return,MA7,MA30,MA90,Price_Difference,High_Low_Spread,Lag_1,Lag_3,Lag_7,Volatility_7,Volatility_30,Momentum_7,Trend_Label
2021-10-27,345.95,356.96,343.59,346.55,115579500,0.01905856015081881,314.9957142857143,273.845,244.90977777777778,-0.6000000000000227,13.370000000000005,339.48,303.23,290.04,0.046514812983677295,0.026677882634363208,55.90999999999997,1
2021-10-28,359.01,360.33,351.4,356.1,81639600,0.037751120104061286,325.1271428571429,277.401,246.58877777777775,2.909999999999968,8.930000000000007,345.95,341.62,288.09,0.0442226768607069,0.02705397171274002,70.92000000000002,1
2021-10-29,371.33,371.74,357.74,360.62,89755200,0.03431659285256676,336.94571428571425,281.34000000000003,248.28288888888892,10.70999999999998,14.0,359.01,339.48,288.6,0.04208563849290826,0.02729518375925565,82.72999999999996,1
2021-11-01,402.86,403.25,372.89,381.67,168146100,0.0849109956103736,351.92571428571426,286.65566666666666,250.24122222222226,21.189999999999998,30.360000000000014,371.33,345.95,298.0,0.0455942515495205,0.028502258406930155,104.86000000000001,1
2021-11-02,390.67,402.86,382.0,386.45,128213400,-0.03025865064786774,364.4171428571429,291.4626666666667,252.09355555555553,4.220000000000027,20.860000000000014,402.86,359.01,303.23,0.053295103606390254,0.029791494640646152,87.44,0
2021-11-03,404.62,405.13,384.21,392.44,103885500,0.03570788645148076,373.4171428571429,296.595,254.03855555555552,12.180000000000007,20.920000000000016,390.67,371.33,341.62,0.036559638288668296,0.030010710217027087,63.0,1
2021-11-04,409.97,414.5,405.67,411.47,76192200,0.013222282635559347,383.4871428571428,301.887,256.07244444444444,-1.5,8.829999999999984,404.62,402.86,339.48,0.034461135355767274,0.029897375643980883,70.49000000000001,1
2021-11-05,407.36,413.29,402.67,409.33,64886400,-0.006366319486791749,392.26000000000005,306.86133333333333,258.0812222222222,-1.9699999999999704,10.620000000000005,409.97,390.67,345.95,0.03679852265181974,0.030120110537793694,61.410000000000025,0
2021-11-08,387.65,399.0,377.67,383.26,100337100,-0.04838472113118626,396.3514285714286,310.98999999999995,259.87766666666664,4.389999999999986,21.329999999999984,407.36,404.62,359.01,0.04499430993656237,0.032280244611807604,28.639999999999986,0
2021-11-09,341.17,391.5,337.17,391.2,177317400,-0.11990197342964004,392.04285714285714,313.72266666666667,261.154,-50.02999999999997,54.329999999999984,387.65,409.97,371.33,0.06533486283827487,0.040123192056790706,-30.159999999999968,0
