Date,Close,High,Low,Open,Volume,Daily_Return,MA7,MA30,MA90,Price_Difference,High_Low_Spread,Lag_1,Lag_3,Lag_7,Volatility_7,Volatility_30,Momentum_7,Trend_Label
2021-10-27,145.31,146.17,144.96,145.81,56094900,-0.0031556561706798923,145.45428571428573,141.449,142.22466666666665,-0.5,1.2099999999999795,145.77,145.15,143.06,0.0066484908937609975,0.011677816353679342,2.25,0
2021-10-28,148.94,149.53,146.16,146.26,100077900,0.0249810749432248,145.9857142857143,141.572,142.42844444444444,2.680000000000007,3.3700000000000045,145.31,145.1,145.22,0.010023856426131409,0.01252770894484059,3.719999999999999,1
2021-10-29,146.24,146.37,142.93,143.72,124953200,-0.018128105277292795,146.0614285714286,141.69366666666664,142.60533333333333,2.5200000000000102,3.4399999999999977,148.94,145.77,145.71,0.012984353664943818,0.012517952812112211,0.5300000000000011,0
2021-11-01,145.42,146.14,144.28,145.45,74588300,-0.005607221006564699,145.99,141.88966666666664,142.77622222222223,-0.030000000000001137,1.8599999999999852,146.24,145.31,145.92,0.013179237900850712,0.011862544276116957,-0.5,0
2021-11-02,146.45,147.96,145.11,145.12,69122000,0.0070829321963966525,146.17571428571426,142.10399999999998,142.9617777777778,1.329999999999984,2.8499999999999943,145.42,148.94,145.15,0.013247279481574966,0.011902251276823003,1.299999999999983,1
2021-11-03,147.89,148.36,146.26,146.81,54511500,0.009832707408671888,146.5742857142857,142.28766666666667,143.14522222222223,1.079999999999984,2.1000000000000227,146.45,146.24,145.1,0.013584566065981357,0.011657760200426906,2.789999999999992,1
2021-11-04,147.37,148.8,147.06,147.97,60394600,-0.003516126851037811,146.80285714285716,142.422,143.30611111111114,-0.5999999999999943,1.740000000000009,147.89,145.42,145.77,0.01375036904163735,0.011644038751584693,1.5999999999999943,0
2021-11-05,147.9,148.8,146.7,148.49,65463900,0.0035963900386781645,147.17285714285714,142.571,143.46611111111113,-0.5900000000000034,2.1000000000000227,147.37,146.45,145.31,0.013593709520219906,0.011653462081072666,2.5900000000000034,1
2021-11-08,147.08,148.18,146.8,148.02,55020900,-0.005544286680189271,146.90714285714284,142.74333333333334,143.61366666666666,-0.9399999999999977,1.3799999999999955,147.9,147.89,148.94,0.009499121257957929,0.01151440576567967,-1.8599999999999852,0
2021-11-09,147.44,148.04,146.7,146.84,56787900,0.0024476475387543188,147.07857142857142,143.04033333333334,143.73600000000002,0.5999999999999943,1.3400000000000034,147.08,147.37,146.24,0.006198059994753295,0.010495482000259643,1.1999999999999886,1
2021-11-10,144.61,146.77,144.54,146.67,65187100,-0.0191942485078675,146.96285714285713,143.213,143.80466666666666,-2.059999999999974,2.230000000000018,147.44,147.9,145.42,0.009774893311422266,0.011154583806903866,-0.8099999999999739,0
