,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,ROC_AUC
AAPL,16.9585309510084,19.80833617175357,0.2540520386810772,0.5286343612334802,0.5286343612334802,1.0,0.69164265129683,0.5010903426791278
MSFT,49.58991482503613,55.09083619195454,-0.1729561276805196,0.4801762114537445,0.4801762114537445,1.0,0.6488095238095238,0.4519514849945576
NVDA,33.96398662281458,35.17335101104246,-5.613452124303904,0.4845814977973568,0.0,0.0,0.0,0.46006216006216005
TSLA,46.34467494880576,49.55672511762883,-0.38948439234704435,0.4713656387665198,0.0,0.0,0.0,0.5595794392523364
