,MAE,RMSE,R2,Accuracy,F1_Score
AAPL,14.867097189478939,15.925514088813912,0.5178308092077157,0.5286343612334802,0.69164265129683
MSFT,25.01788434402533,27.390713303915582,0.71004558616154,0.5066079295154186,0.6028368794326241
NVDA,15.569937612390742,17.139884513519647,-0.5704224841404353,0.5154185022026432,0.6802325581395349
TSLA,10.360438130248488,12.582483204190464,0.9104261597989564,0.4933920704845815,0.17266187050359713
