Model,MAE,RMSE,R2
Baseline,3.8481126692851744,4.897036095566277,0.9544089970932534
Dropout,50.24167202718458,51.69985759682808,-4.081491802008988
Early Stopping,6.6035162165301475,7.874163089862617,0.8821250974060673
Batch Norm,9.167555810869526,11.306098377159447,0.7569822164107831
All Combined,44.85103397050093,48.66405573149453,-3.5022451320665935
