,MAE,RMSE,R2,Accuracy,Precision,Recall,F1,ROC_AUC
AAPL,14.44820199571517,17.177242709211978,0.4390560868407465,0.5286343612334802,0.5286343612334802,1.0,0.69164265129683,0.5088785046728972
MSFT,12.414657025442247,15.650451870005844,0.9053377544744188,0.4801762114537445,0.4801762114537445,1.0,0.6488095238095238,0.5180376302285803
NVDA,26.000485041278065,28.063409535561778,-3.209995095803248,0.5154185022026432,0.5154185022026432,1.0,0.6802325581395349,0.45843045843045843
TSLA,47.37826504745147,51.102269926467805,-0.47750465616137516,0.4713656387665198,0.0,0.0,0.0,0.5560747663551403
